CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated,BikeBuyer,AvgMonthSpend
21173,,Chad,C,Yuan,,7090 C. Mount Hood,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0115,1987-11-13,Bachelors,Clerical,M,M,1,3,0,1,81916,2017-03-06,1,50.97
13249,,Ryan,,Perry,,3651 Willow Lake Rd,,Shawnee,British Columbia,Canada,V9B 2C3,787-555-0136,1972-07-21,Partial College,Clerical,M,M,1,2,1,2,81076,2017-03-06,1,53.11
29350,,Julia,,Thompson,,1774 Tice Valley Blvd.,,West Covina,California,United States,91791,120-555-0111,1985-11-09,Bachelors,Clerical,F,S,0,3,0,0,86387,2017-03-06,1,54.08
13503,,Theodore,,Gomez,,2103 Baldwin Dr,,Liverpool,England,United Kingdom,L4 4HB,1 (11) 500 555-0167,1977-10-18,Partial College,Skilled Manual,M,M,1,2,1,2,61481,2017-03-06,1,56.93
22803,,Marshall,J,Shan,,Am Gallberg 234,,Werne,Nordrhein-Westfalen,Germany,59368,1 (11) 500 555-0113,1975-02-05,Partial College,Skilled Manual,M,S,1,1,0,0,51804,2017-03-06,1,55.41
22092,,Andrea,,Young,,9384 Ashmount Way,,Tacoma,Washington,United States,98403,639-555-0165,1975-02-23,High School,Skilled Manual,F,M,1,2,2,2,61944,2017-03-06,1,49.31
11229,,Adrian,C,Stewart,,6898 Shaw Rd.,,Redwood City,California,United States,94063,812-555-0122,1971-12-03,Partial College,Manual,M,S,1,1,0,0,34919,2017-03-06,0,56.01
24179,,Robyn,R,Blanco,,6270 Pinecreek Way,,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,1997-03-07,Partial College,Skilled Manual,F,M,0,1,0,0,61832,2017-03-06,1,49.29
12127,,Grace,,Davis,,"8188, rue Lamarck",,Dunkerque,Nord,France,59140,1 (11) 500 555-0178,1976-12-14,Partial College,Clerical,F,M,1,0,0,2,83834,2017-03-06,1,50.05
19903,,Marcus,N,Nelson,,"5, rue des Bouchers",,Metz,Moselle,France,57000,1 (11) 500 555-0181,1976-12-04,High School,Manual,M,S,0,1,0,0,26880,2017-03-06,0,54.15
